,Tanggal,Curah_Hujan,Prediksi_Curah_Hujan
141,2022-09-03,5.923071528751754,5.760306
142,2022-09-04,5.923071528751754,2.3731475
143,2022-09-05,0.0,1.5638883
144,2022-09-06,0.0,3.3772182
145,2022-09-07,3.0,3.7656353
146,2022-09-08,5.923071528751754,3.7775729
147,2022-09-09,0.4,4.1069064
148,2022-09-10,0.0,7.767485
149,2022-09-11,5.923071528751754,6.024194
150,2022-09-12,0.0,1.9542956
151,2022-09-13,0.0,5.090637
152,2022-09-14,0.0,1.5638883
153,2022-09-15,0.0,3.2542365
154,2022-09-16,0.0,11.0630665
155,2022-09-17,5.923071528751754,3.241389
156,2022-09-18,5.923071528751754,5.2471685
157,2022-09-19,0.0,3.7398791
158,2022-09-20,0.0,13.336425
159,2022-09-21,0.0,2.8848467
160,2022-09-22,0.0,6.3453627
161,2022-09-23,0.0,5.1999817
162,2022-09-24,5.923071528751754,2.8468482
163,2022-09-25,5.923071528751754,3.062622
164,2022-09-26,0.0,3.5902166
165,2022-09-27,5.923071528751754,3.1218946
166,2022-09-28,0.0,4.441066
167,2022-09-29,0.0,8.454282
168,2022-09-30,5.923071528751754,2.8889632
169,2022-10-01,36.0,3.4553509
170,2022-10-02,5.5,4.5770206
171,2022-10-03,22.4,5.422293
172,2022-10-04,50.4,4.8589935
173,2022-10-05,5.923071528751754,8.58262
174,2022-10-06,0.0,1.5638883
175,2022-10-07,0.0,4.7165427
176,2022-10-08,0.0,1.5849392
177,2022-10-09,5.923071528751754,1.5638883
178,2022-10-10,9.6,5.980191
179,2022-10-11,5.923071528751754,2.518318
180,2022-10-12,0.0,1.6370382
181,2022-10-13,5.923071528751754,1.5638883
182,2022-10-14,0.5,1.6536919
183,2022-10-15,47.5,5.7052608
184,2022-10-16,0.6,11.497876
185,2022-10-17,0.0,2.6822205
186,2022-10-18,31.6,1.5638883
187,2022-10-19,22.0,2.646681
188,2022-10-20,15.0,6.693262
189,2022-10-21,1.1,2.8238513
190,2022-10-22,30.0,3.6637745
191,2022-10-23,0.0,3.2247906
192,2022-10-24,7.8,6.162022
193,2022-10-25,27.3,5.005639
194,2022-10-26,35.0,2.4892528
195,2022-10-27,7.8,3.8250196
196,2022-10-28,0.0,7.640862
197,2022-10-29,5.923071528751754,10.785605
198,2022-10-30,0.0,4.2286377
199,2022-10-31,0.0,1.5638883
200,2022-11-01,15.7,4.908801
201,2022-11-02,0.0,4.3846908
202,2022-11-03,27.6,3.7447608
203,2022-11-04,2.9,2.0333533
204,2022-11-05,0.0,5.905866
205,2022-11-06,0.0,6.123503
206,2022-11-07,0.0,1.5638883
207,2022-11-08,3.5,3.5406075
208,2022-11-09,48.8,10.624277
209,2022-11-10,1.4,5.9662676
210,2022-11-11,5.923071528751754,3.092544
211,2022-11-12,0.0,1.9606639
212,2022-11-13,1.5,2.9057186
213,2022-11-14,2.8,1.5942587
214,2022-11-15,22.5,3.3253236
215,2022-11-16,5.923071528751754,6.288796
216,2022-11-17,0.0,9.796097
217,2022-11-18,2.5,8.756973
218,2022-11-19,76.7,5.610773
219,2022-11-20,4.6,4.145573
220,2022-11-21,32.0,2.695167
221,2022-11-22,0.5,4.4779377
222,2022-11-23,1.0,5.5425377
223,2022-11-24,0.0,1.5638887
224,2022-11-25,24.3,4.2029705
225,2022-11-26,0.0,3.6193585
226,2022-11-27,0.5,4.3280454
227,2022-11-28,0.8,4.9612236
228,2022-11-29,18.7,6.588656
229,2022-11-30,13.8,5.0777383
230,2022-12-01,23.3,3.82844
231,2022-12-02,0.0,7.239764
232,2022-12-03,0.0,3.0284548
233,2022-12-04,0.0,5.8857226
234,2022-12-05,2.6,6.3900695
235,2022-12-06,9.7,2.7621546
236,2022-12-07,2.8,3.5856168
237,2022-12-08,5.923071528751754,2.331851
238,2022-12-09,0.0,2.134523
239,2022-12-10,80.0,2.104738
240,2022-12-11,4.4,1.8836921
241,2022-12-12,0.0,2.376203
242,2022-12-13,5.923071528751754,1.5638883
243,2022-12-14,0.0,2.0348508
244,2022-12-15,5.923071528751754,3.6353815
245,2022-12-16,2.0,1.6443549
246,2022-12-17,24.0,5.8907123
247,2022-12-18,6.2,3.9977117
248,2022-12-19,10.0,2.126089
249,2022-12-20,20.1,1.9631392
250,2022-12-21,3.2,10.342672
251,2022-12-22,11.1,1.8519254
252,2022-12-23,5.923071528751754,6.6701546
253,2022-12-24,4.6,7.9527216
254,2022-12-25,0.8,6.7163973
255,2022-12-26,0.0,5.7080884
256,2022-12-27,2.7,2.9499106
257,2022-12-28,0.0,7.7950206
258,2022-12-29,8.0,2.7811215
259,2022-12-30,5.923071528751754,4.2718277
260,2022-12-31,10.8,6.8062224
261,2023-01-01,25.2,9.469898
262,2023-01-02,0.0,2.9170945
263,2023-01-03,5.923071528751754,3.37374
264,2023-01-04,5.923071528751754,3.2248065
265,2023-01-05,5.923071528751754,1.6624953
266,2023-01-06,0.0,1.7125819
267,2023-01-07,5.923071528751754,1.6860385
268,2023-01-08,9.5,4.421307
269,2023-01-09,21.3,3.4121022
270,2023-01-10,8.5,4.4303007
271,2023-01-11,1.0,4.9403768
272,2023-01-12,9.1,1.5638883
273,2023-01-13,1.0,8.351157
274,2023-01-14,5.923071528751754,3.5635881
275,2023-01-15,0.0,2.250529
276,2023-01-16,0.0,3.6441073
277,2023-01-17,10.9,10.143948
278,2023-01-18,1.3,3.7400012
279,2023-01-19,6.5,2.2602925
280,2023-01-20,0.3,2.5311365
281,2023-01-21,0.0,2.8407953
282,2023-01-22,16.6,1.5638883
283,2023-01-23,25.5,3.291561
284,2023-01-24,0.0,7.2449803
285,2023-01-25,2.0,3.0601742
286,2023-01-26,23.0,11.519609
287,2023-01-27,0.9,5.6793013
288,2023-01-28,6.1,2.9947608
289,2023-01-29,11.5,5.9377804
290,2023-01-30,3.8,5.4696465
291,2023-01-31,5.923071528751754,4.039091
292,2023-02-01,13.2,7.80487
293,2023-02-02,1.0,2.3334498
294,2023-02-03,4.9,4.4523177
295,2023-02-04,5.923071528751754,1.5638883
296,2023-02-05,4.0,4.2117414
297,2023-02-06,0.0,4.9968095
298,2023-02-07,7.0,6.641268
299,2023-02-08,4.5,2.9942238
300,2023-02-09,3.0,4.1827226
301,2023-02-10,33.6,4.197193
302,2023-02-11,5.923071528751754,3.1718845
303,2023-02-12,1.7,2.8315017
304,2023-02-13,3.6,7.3310437
305,2023-02-14,14.7,4.64296
306,2023-02-15,17.8,5.5218744
307,2023-02-16,23.8,3.1385062
308,2023-02-17,19.8,1.8560694
309,2023-02-18,1.4,1.6170747
310,2023-02-19,65.8,4.2730694
311,2023-02-20,15.0,1.9196364
312,2023-02-21,9.5,2.4587743
313,2023-02-22,56.2,2.1291008
314,2023-02-23,5.923071528751754,4.218457
315,2023-02-24,3.8,2.685762
316,2023-02-25,0.0,2.6892142
317,2023-02-26,3.0,3.5518897
318,2023-02-27,0.1,3.5720277
319,2023-02-28,6.8,6.620951
320,2023-03-01,7.6,7.8315725
321,2023-03-02,2.0,1.791793
322,2023-03-03,13.7,3.2013357
323,2023-03-04,0.0,3.8915563
324,2023-03-05,0.0,7.357317
325,2023-03-06,45.2,4.278421
326,2023-03-07,0.2,3.8255043
327,2023-03-08,0.0,10.677602
328,2023-03-09,10.0,3.704012
329,2023-03-10,0.0,5.5409484
330,2023-03-11,5.923071528751754,5.809014
331,2023-03-12,0.0,1.5638883
332,2023-03-13,0.0,1.5638883
333,2023-03-14,0.0,4.554969
334,2023-03-15,0.2,3.2797053
335,2023-03-16,3.0,6.824418
336,2023-03-17,0.1,2.5629563
337,2023-03-18,0.0,4.2647
338,2023-03-19,5.923071528751754,7.3270392
339,2023-03-20,5.5,1.5638883
340,2023-03-21,14.3,1.5638883
341,2023-03-22,2.0,5.496154
342,2023-03-23,0.0,4.319105
343,2023-03-24,0.0,3.6689289
344,2023-03-25,4.0,2.9229424
345,2023-03-26,0.0,3.3591354
346,2023-03-27,0.0,1.5638883
347,2023-03-28,0.0,2.4539638
348,2023-03-29,5.923071528751754,3.8534205
349,2023-03-30,25.2,7.5927234
350,2023-03-31,7.4,1.6188948
351,2023-04-01,12.4,2.3726602
352,2023-04-02,0.1,6.743454
353,2023-04-03,6.9,2.7751038
354,2023-04-04,5.923071528751754,4.9381495
355,2023-04-05,0.0,10.083651
356,2023-04-06,0.0,1.7386478
357,2023-04-07,30.0,6.4899926
358,2023-04-08,0.0,2.2630634
359,2023-04-09,33.5,1.5638883
360,2023-04-10,11.1,3.2599957
361,2023-04-11,3.0,1.8155344
362,2023-04-12,5.4,3.0214088
363,2023-04-13,15.5,5.4065285
364,2023-04-14,0.0,2.873368
365,2023-04-15,1.4,4.422061
366,2023-04-16,60.0,10.970662
367,2023-04-17,0.0,5.057552
368,2023-04-18,5.2,2.4664593
369,2023-04-19,0.0,5.875399
370,2023-04-20,13.1,7.07774
371,2023-04-21,0.0,2.2507539
372,2023-04-22,0.0,5.7705674
373,2023-04-23,0.0,6.568461
374,2023-04-24,0.0,3.0367968
375,2023-04-25,0.0,5.1061506
376,2023-04-26,3.5,5.0395985
377,2023-04-27,0.3,3.9993196
378,2023-04-28,5.923071528751754,5.3232327
379,2023-04-29,0.6,5.0942917
380,2023-04-30,0.8,2.5777295
381,2023-05-01,0.0,2.9990165
382,2023-05-02,0.0,6.994489
383,2023-05-03,5.923071528751754,1.7163765
384,2023-05-04,5.923071528751754,2.6327047
385,2023-05-05,5.923071528751754,2.7774937
386,2023-05-06,7.7,2.2375002
387,2023-05-07,0.0,12.284058
388,2023-05-08,0.0,4.447229
389,2023-05-09,0.0,1.5638883
390,2023-05-10,5.923071528751754,2.797238
391,2023-05-11,2.3,6.8171387
392,2023-05-12,5.923071528751754,3.836082
393,2023-05-13,0.0,3.498052
394,2023-05-14,5.923071528751754,1.5638883
395,2023-05-15,0.0,5.629604
396,2023-05-16,0.0,9.5082655
397,2023-05-17,0.0,2.0503078
398,2023-05-18,0.0,7.0050764
399,2023-05-19,0.0,2.9228315
400,2023-05-20,5.923071528751754,3.5777462
401,2023-05-21,0.0,1.5638883
402,2023-05-22,5.923071528751754,3.0025327
403,2023-05-23,0.0,2.3729432
404,2023-05-24,0.0,3.0717454
405,2023-05-25,0.0,4.5023923
406,2023-05-26,0.0,3.5108283
407,2023-05-27,0.0,2.8861783
408,2023-05-28,5.923071528751754,2.7711182
409,2023-05-29,0.0,1.7990233
410,2023-05-30,5.923071528751754,2.753962
411,2023-05-31,0.0,6.5613184
412,2023-06-01,0.0,4.1357317
413,2023-06-02,0.0,4.741056
414,2023-06-03,5.923071528751754,2.5315597
415,2023-06-04,0.0,10.04207
416,2023-06-05,0.0,3.3372428
417,2023-06-06,0.0,2.598364
418,2023-06-07,1.9,4.113915
419,2023-06-08,0.0,1.7774609
420,2023-06-09,5.923071528751754,5.633558
421,2023-06-10,0.0,2.0278313
422,2023-06-11,0.4,2.257809
423,2023-06-12,0.0,3.0821388
424,2023-06-13,0.0,4.4488606
425,2023-06-14,5.923071528751754,2.8225358
426,2023-06-15,0.0,1.5638883
427,2023-06-16,0.0,2.2993464
428,2023-06-17,0.0,3.5697773
429,2023-06-18,0.0,1.5638883
430,2023-06-19,0.0,3.3822548
431,2023-06-20,0.0,2.5020852
432,2023-06-21,0.0,4.9831553
433,2023-06-22,0.0,5.1816792
434,2023-06-23,5.923071528751754,3.348263
435,2023-06-24,0.0,3.941186
436,2023-06-25,0.0,2.4105704
437,2023-06-26,13.0,2.5783758
438,2023-06-27,0.0,6.53667
439,2023-06-28,0.0,2.2050836
440,2023-06-29,0.0,4.922911
441,2023-06-30,0.0,2.3668783
442,2023-07-01,5.923071528751754,2.179423
443,2023-07-02,0.0,3.2213988
444,2023-07-03,0.0,5.143847
445,2023-07-04,0.0,1.8463503
446,2023-07-05,12.5,3.8987837
447,2023-07-06,0.0,4.306477
448,2023-07-07,5.923071528751754,2.0387824
449,2023-07-08,34.5,1.7295523
450,2023-07-09,3.8,6.5211825
451,2023-07-10,0.0,10.306655
452,2023-07-11,0.0,4.1334124
453,2023-07-12,0.0,8.8748455
454,2023-07-13,0.0,2.6039512
455,2023-07-14,0.0,3.1685057
456,2023-07-15,0.0,3.0108306
457,2023-07-16,0.0,4.241052
458,2023-07-17,5.923071528751754,3.6487703
459,2023-07-18,0.0,2.0274591
460,2023-07-19,0.0,5.985272
461,2023-07-20,0.0,10.194868
462,2023-07-21,0.0,2.8350995
463,2023-07-22,0.0,2.4240358
464,2023-07-23,5.923071528751754,2.341312
465,2023-07-24,5.923071528751754,2.688379
466,2023-07-25,0.0,2.2316084
467,2023-07-26,0.0,2.1920812
468,2023-07-27,0.0,3.145972
469,2023-07-28,0.0,2.4100266
470,2023-07-29,0.0,2.308159
471,2023-07-30,0.0,4.4671807
472,2023-07-31,0.0,2.8992321
473,2023-08-01,0.0,1.5638883
474,2023-08-02,5.923071528751754,5.2313333
475,2023-08-03,0.0,6.2419806
476,2023-08-04,0.0,4.7399864
477,2023-08-05,0.0,3.2242024
478,2023-08-06,5.923071528751754,7.976782
479,2023-08-07,0.0,3.375905
480,2023-08-08,5.923071528751754,7.367408
481,2023-08-09,0.0,5.021916
482,2023-08-10,5.923071528751754,2.9613347
483,2023-08-11,5.923071528751754,3.5551445
484,2023-08-12,0.0,1.6756209
485,2023-08-13,0.0,2.7954578
486,2023-08-14,0.0,2.5502203
487,2023-08-15,0.0,2.8379023
488,2023-08-16,0.0,3.5466752
489,2023-08-17,0.0,5.8500943
490,2023-08-18,5.923071528751754,2.7243307
491,2023-08-19,0.0,2.3558128
492,2023-08-20,5.923071528751754,5.176122
493,2023-08-21,0.0,2.694156
494,2023-08-22,0.0,2.5008578
495,2023-08-23,0.0,1.5638883
496,2023-08-24,0.0,2.2303684
497,2023-08-25,0.0,2.5276315
498,2023-08-26,5.923071528751754,4.3372507
499,2023-08-27,0.0,7.7299714
500,2023-08-28,0.0,6.4019713
501,2023-08-29,0.0,3.5184152
502,2023-08-30,0.0,1.5868412
503,2023-08-31,0.0,3.497075
