RR
0.0
20.5
2.6
0.9
0.0
10.5
1.5
1.0
0.0
0.0
5.6
22.5
42.0
91.6
30.0
65.0
19.3
0.0
4.2
13.6
16.0
0.0
0.0
19.1
0.4
0.0
14.1
11.1
80.8
101.0
13.0
74.7
9.8
6.5
7.8
1.3
2.0
3.0
5.2
2.5
10.7
6.4
1.4
0.0
0.3
0.0
0.0
1.5
0.0
0.0
0.0
0.0
0.0
0.0
0.0
2.3
5.0
0.0
7.7
1.5
0.5
0.0
40.1
1.0
0.0
0.0
17.4
3.2
16.0
5.9
37.4
33.4
0.3
0.0
1.4
0.0
1.3
2.5
17.9
32.5
0.0
0.0
3.7
44.0
0.5
0.0
0.0
0.0
5.0
15.0
2.3
2.5
51.0
0.0
0.0
2.5
18.3
0.5
0.0
1.0
0.0
0.0
0.0
0.0
0.0
3.5
27.3
0.0
63.6
47.5
2.5
2.5
0.5
0.0
0.1
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
5.0
0.0
0.0
0.0
0.0
0.0
0.5
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
19.6
0.0
0.0
0.0
0.0
0.0
0.0
14.5
26.0
0.3
0.5
0.0
0.0
13.3
0.0
0.0
0.0
0.0
0.0
0.0
0.5
0.0
11.6
2.9
0.0
4.1
0.0
48.5
11.0
0.0
0.0
1.3
0.0
1.8
1.3
16.4
