,Tanggal,Curah_Hujan,Prediksi_Curah_Hujan
150,2022-10-24,7.8,9.327333
151,2022-10-25,27.3,9.655097
152,2022-10-26,35.0,11.225433
153,2022-10-27,7.8,11.558275
154,2022-10-28,0.0,4.9510407
155,2022-10-30,0.0,4.5407104
156,2022-10-31,0.0,9.245309
157,2022-11-01,15.7,11.363104
158,2022-11-02,0.0,4.5934315
159,2022-11-03,27.6,6.3676977
160,2022-11-04,2.9,4.409918
161,2022-11-05,0.0,4.4326825
162,2022-11-06,0.0,11.694551
163,2022-11-07,0.0,6.1124697
164,2022-11-08,3.5,8.661017
165,2022-11-09,48.8,4.8383646
166,2022-11-10,1.4,6.9225497
167,2022-11-12,0.0,6.3479586
168,2022-11-13,1.5,4.3896894
169,2022-11-14,2.8,4.60831
170,2022-11-15,22.5,9.837943
171,2022-11-17,0.0,4.6860757
172,2022-11-18,2.5,4.4090047
173,2022-11-19,76.7,9.373933
174,2022-11-20,4.6,13.505633
175,2022-11-21,32.0,7.644108
176,2022-11-22,0.5,6.765779
177,2022-11-23,1.0,4.3881907
178,2022-11-24,0.0,5.9193125
179,2022-11-25,24.3,4.399648
180,2022-11-26,0.0,12.417065
181,2022-11-27,0.5,8.379237
182,2022-11-28,0.8,6.376367
183,2022-11-29,18.7,10.641854
184,2022-11-30,13.8,10.814779
185,2022-12-01,23.3,12.065443
186,2022-12-02,0.0,10.916244
187,2022-12-03,0.0,5.525396
188,2022-12-04,0.0,7.776861
189,2022-12-05,2.6,7.2029185
190,2022-12-06,9.7,8.848855
191,2022-12-07,2.8,10.723957
192,2022-12-09,0.0,5.7469716
193,2022-12-10,80.0,4.6385136
194,2022-12-11,4.4,4.9471097
195,2022-12-12,0.0,5.748983
196,2022-12-14,0.0,11.039038
197,2022-12-16,2.0,5.186772
198,2022-12-17,24.0,10.673774
199,2022-12-18,6.2,11.317341
200,2022-12-19,10.0,4.4708877
201,2022-12-20,20.1,4.3881907
202,2022-12-21,3.2,4.414336
203,2022-12-22,11.1,6.0084953
204,2022-12-24,4.6,11.518419
