,Tanggal,RR
210,2019-07-30,0.0
211,2019-07-31,0.0
212,2019-08-01,0.0
213,2019-08-02,0.0
214,2019-08-03,0.0
215,2019-08-04,0.0
216,2019-08-05,0.0
217,2019-08-06,0.0
218,2019-08-07,0.0
219,2019-08-08,0.0
220,2019-08-09,0.0
221,2019-08-10,0.0
222,2019-08-11,0.0
223,2019-08-12,0.0
224,2019-08-13,0.0
225,2019-08-14,0.0
226,2019-08-15,0.0
227,2019-08-16,0.0
228,2019-08-17,0.0
229,2019-08-18,0.0
230,2019-08-19,0.0
231,2019-08-20,0.0
232,2019-08-21,0.0
233,2019-08-22,0.0
234,2019-08-23,0.0
235,2019-08-24,0.0
236,2019-08-25,0.0
237,2019-08-26,0.0
238,2019-08-27,0.0
239,2019-08-28,0.0
240,2019-08-29,0.0
241,2019-08-30,0.0
242,2019-08-31,0.0
243,2019-09-01,0.0
244,2019-09-02,0.0
245,2019-09-03,0.0
246,2019-09-04,0.0
247,2019-09-05,0.0
248,2019-09-06,0.0
249,2019-09-07,0.0
250,2019-09-08,0.0
251,2019-09-09,0.0
252,2019-09-10,0.0
253,2019-09-11,0.0
254,2019-09-12,0.0
255,2019-09-13,0.0
256,2019-09-14,0.0
257,2019-09-15,0.0
258,2019-09-16,0.0
259,2019-09-17,0.0
260,2019-09-18,0.0
261,2019-09-19,0.0
262,2019-09-20,0.0
263,2019-09-21,0.0
264,2019-09-22,0.0
265,2019-09-23,0.0
266,2019-09-24,0.0
267,2019-09-25,0.0
268,2019-09-26,0.0
269,2019-09-27,0.0
270,2019-09-28,0.0
271,2019-09-29,0.0
272,2019-09-30,0.0
273,2019-10-01,0.0
274,2019-10-02,0.0
275,2019-10-03,0.0
276,2019-10-04,0.0
277,2019-10-05,0.0
278,2019-10-06,0.0
279,2019-10-07,0.0
280,2019-10-08,0.0
281,2019-10-09,0.0
282,2019-10-10,0.0
283,2019-10-11,0.0
284,2019-10-12,0.0
285,2019-10-13,0.0
286,2019-10-14,0.0
287,2019-10-15,0.0
288,2019-10-16,0.0
289,2019-10-17,0.0
290,2019-10-18,0.0
291,2019-10-19,0.0
