,RR
616,0.0
618,0.0
619,0.0
620,0.0
636,0.0
639,0.0
640,0.0
642,0.0
643,0.0
644,0.0
646,0.0
647,0.0
648,0.0
649,4.0
650,0.0
652,0.0
655,0.0
656,0.0
658,10.0
659,0.0
660,0.0
661,2.5
662,0.7
663,16.6
664,30.5
665,1.0
666,2.7
667,0.0
668,0.0
669,20.6
670,34.3
671,22.6
672,8.6
674,0.0
675,0.0
676,0.0
679,0.0
680,0.0
683,0.0
684,4.4
685,15.5
687,0.0
688,0.0
690,0.5
691,0.0
692,7.5
693,3.0
695,0.3
696,1.2
699,35.8
700,0.0
701,3.0
702,0.2
703,0.0
704,46.1
705,36.6
706,26.4
707,6.0
708,15.3
709,15.9
710,4.3
711,13.1
712,31.3
713,9.9
714,18.1
715,1.0
716,17.0
717,3.5
718,10.8
719,1.0
720,2.6
721,5.0
722,21.9
723,0.0
724,0.0
726,1.0
727,25.5
728,58.3
729,33.3
730,22.7
731,50.0
732,0.0
733,4.3
734,9.9
735,3.7
736,11.1
738,34.7
739,0.4
740,13.5
741,5.0
742,1.3
743,0.0
744,29.7
745,0.3
747,0.0
748,0.0
749,4.5
750,0.2
751,10.5
752,13.4
753,31.5
754,28.0
755,8.1
757,59.8
758,0.4
759,1.6
761,2.0
762,26.6
763,6.2
764,0.0
765,6.6
766,29.0
767,2.5
768,3.5
770,32.6
771,2.5
772,40.5
774,22.5
775,13.4
776,18.5
778,64.8
779,1.4
780,0.0
781,0.0
782,18.0
783,10.4
784,0.0
785,38.1
786,26.4
787,9.0
788,22.3
789,74.8
790,21.5
791,24.2
792,20.8
793,0.8
794,14.2
795,41.3
796,7.5
797,11.9
799,0.2
800,0.0
801,1.0
802,13.6
803,13.6
804,1.3
805,3.4
806,0.8
807,0.0
808,29.2
809,23.3
810,0.0
811,7.0
813,38.0
814,1.0
816,0.5
817,0.0
819,0.0
820,3.5
821,4.6
823,0.0
824,0.0
825,12.6
827,6.1
828,7.5
829,5.8
831,1.8
833,3.3
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,1.6
840,0.0
841,0.0
842,0.0
843,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,2.0
850,0.0
851,0.0
852,3.5
854,0.0
855,0.0
856,0.0
857,0.0
858,27.5
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,89.3
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
879,5.3
883,12.2
884,0.0
885,0.4
886,0.0
887,0.0
888,0.0
890,2.8
891,0.0
892,0.0
894,0.0
895,0.0
896,0.0
897,6.1
898,9.2
899,0.0
900,0.0
901,0.0
902,0.0
903,0.8
904,0.0
905,0.0
906,46.2
907,0.0
908,0.0
910,0.8
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,0.0
931,0.0
932,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,1.2
947,0.0
948,0.0
949,0.0
950,0.0
952,0.0
953,0.0
954,0.0
956,0.0
957,0.0
958,0.7
959,0.0
960,0.0
961,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
